Livro,Capítulo,Verso,Antes,Depois
Mt,1,1,"Livro d<i>a</i> geração de Jesus Cristo, filho de Davi, filho de Abraão.<f>[1]</f><pb/>","Livro d<n>[a]</n> geração de Jesus Cristo, filho de Davi, filho de Abraão.<f>[1]</f><pb/>"
Mt,1,6,"Jessé, pois, gerou Davi, o rei. Davi, pois, gerou<f>[1]</f> Salomão da <i>que foi mulher</i> de Urias;","Jessé, pois, gerou Davi, o rei. Davi, pois, gerou<f>[1]</f> Salomão da <n>[que foi mulher]</n> de Urias;"
Mt,1,18,"O nascimento de Jesus Cristo, pois, foi assim: Estando sua mãe, Maria, desposada com José, antes de se unirem<f>[1]</f>, <i>ela</i> foi achada grávida d<i>o</i> Espírito Santo.","O nascimento de Jesus Cristo, pois, foi assim: Estando sua mãe, Maria, desposada com José, antes de se unirem<f>[1]</f>, <n>[ela]</n> foi achada grávida d<n>[o]</n> Espírito Santo."
Mt,1,20,"Mas, quando ponderava essas <i>coisas</i>, eis que um anjo d<i>o</i> Senhor<f>[1]</f> lhe apareceu em sonho, dizendo: José, filho de Davi, não temas receber <i>a</i> Maria, tua mulher, pois aquilo gerado nela, é d<i>o</i> Espírito Santo.","Mas, quando ponderava essas <n>[coisas]</n>, eis que um anjo d<n>[o]</n> Senhor<f>[1]</f> lhe apareceu em sonho, dizendo: José, filho de Davi, não temas receber <n>[a]</n> Maria, tua mulher, pois aquilo gerado nela, é d<n>[o]</n> Espírito Santo."
Mt,1,22,"Tudo isto, pois, aconteceu, para que se cumprisse o que fora dito <i>da parte</i> d<i>o</i> Senhor<f>[1]</f> pelo<f>[2]</f> profeta, dizendo:","Tudo isto, pois, aconteceu, para que se cumprisse o que fora dito <n>[da parte]</n> d<n>[o]</n> Senhor<f>[1]</f> pelo<f>[2]</f> profeta, dizendo:"
Mt,1,24,"José, pois, despertado do sono, fez como lhe ordenara o anjo d<i>o</i> Senhor, e aceitou<f>[1]</f> a sua mulher;","José, pois, despertado do sono, fez como lhe ordenara o anjo d<n>[o]</n> Senhor, e aceitou<f>[1]</f> a sua mulher;"
Mt,2,3,"Ouvindo <i>isso</i>, pois, o rei Herodes, ficou perturbado, e toda Jerusalém com ele;","Ouvindo <n>[isso]</n>, pois, o rei Herodes, ficou perturbado, e toda Jerusalém com ele;"
Mt,2,6,"“E tu, Belém, terra de Judá, és de maneira nenhuma<f>[1]</f> <i>a</i> menor entre as capitais<f>[2]</f> de Judá; porque de ti sairá o guia, que pastoreará<f>[3]</f> o meu povo Israel.”<f>[4]</f>","“E tu, Belém, terra de Judá, és de maneira nenhuma<f>[1]</f> <n>[a]</n> menor entre as capitais<f>[2]</f> de Judá; porque de ti sairá o guia, que pastoreará<f>[3]</f> o meu povo Israel.”<f>[4]</f>"
Mt,2,7,"Então, Herodes, chamando secretamente os magos, inquiriu <i>cuidadosamente</i> deles o tempo da aparência da estrela;","Então, Herodes, chamando secretamente os magos, inquiriu <n>[cuidadosamente]</n> deles o tempo da aparência da estrela;"
Mt,2,8,"e, enviando‑os a Belém, disse: Indo, cuidadosamente perguntai acerca da criança<f>[1]</f>; e, quando <i>a</i> achardes, relatai‑m<i>o</i>, para que também eu, indo<f>[2]</f>, a adore.","e, enviando‑os a Belém, disse: Indo, cuidadosamente perguntai acerca da criança<f>[1]</f>; e, quando <n>[a]</n> achardes, relatai‑m<n>[o]</n>, para que também eu, indo<f>[2]</f>, a adore."
Mt,2,9,"Eles, pois, ouvindo o rei, foram; e, vê, a estrela, que viram no levante, ia adiante deles até, chegando, parou<f>[1]</f> sobre <i>o lugar</i> onde estava a criança.","Eles, pois, ouvindo o rei, foram; e, vê, a estrela, que viram no levante, ia adiante deles até, chegando, parou<f>[1]</f> sobre <n>[o lugar]</n> onde estava a criança."
Mt,2,13,"E, havendo eles partido, vê <i>que</i> um anjo d<i>o</i> Senhor apareceu por sonho a José, dizendo: Levanta‑te, toma a criança e a sua mãe, e foge para <i>o</i> Egito<f>[1]</f>, e esteja lá até que eu te diga; porque Herodes está para procurar a criança para destruí‑la.","E, havendo eles partido, vê <n>[que]</n> um anjo d<n>[o]</n> Senhor apareceu por sonho a José, dizendo: Levanta‑te, toma a criança e a sua mãe, e foge para <n>[o]</n> Egito<f>[1]</f>, e esteja lá até que eu te diga; porque Herodes está para procurar a criança para destruí‑la."
Mt,2,14,"Ele<f>[1]</f>, pois, levantando, tomou a criança e a sua mãe de noite e partiu para <i>o</i> Egito.","Ele<f>[1]</f>, pois, levantando, tomou a criança e a sua mãe de noite e partiu para <n>[o]</n> Egito."
